classifier_name,dataset_name,accuracy
NNE-average-augmented,cricket_y,0.7
NNE-average-augmented,distal_phalanax_tw,0.6906474820143885
NNE-average-augmented,egg_five_days,1.0
NNE-average-augmented,face_ucr,0.9463414634146341
NNE-average-augmented,fifty_words,0.7142857142857143
NNE-average-augmented,mote_strain,0.95
NNE-average-augmented,power_cons,0.9555555555555556
NNE-average-augmented,sony_robot,0.95
NNE-average-augmented,synthetic_control,0.9866666666666667
NNE-average_with_confidence-augmented,cricket_y,0.7128205128205128
NNE-average_with_confidence-augmented,distal_phalanax_tw,0.6618705035971223
NNE-average_with_confidence-augmented,egg_five_days,1.0
NNE-average_with_confidence-augmented,face_ucr,0.9419512195121951
NNE-average_with_confidence-augmented,fifty_words,0.734065934065934
NNE-average_with_confidence-augmented,mote_strain,0.95
NNE-average_with_confidence-augmented,power_cons,0.9555555555555556
NNE-average_with_confidence-augmented,sony_robot,0.95
NNE-average_with_confidence-augmented,synthetic_control,0.98
NNE-logistic_average-augmented,cricket_y,0.7025641025641025
NNE-logistic_average-augmented,distal_phalanax_tw,0.6906474820143885
NNE-logistic_average-augmented,egg_five_days,1.0
NNE-logistic_average-augmented,face_ucr,0.9458536585365853
NNE-logistic_average-augmented,fifty_words,0.7098901098901099
NNE-logistic_average-augmented,mote_strain,0.95
NNE-logistic_average-augmented,power_cons,0.9555555555555556
NNE-logistic_average-augmented,sony_robot,0.95
NNE-logistic_average-augmented,synthetic_control,0.9866666666666667
NNE-logistic_average_with_confidence-augmented,cricket_y,0.6974358974358974
NNE-logistic_average_with_confidence-augmented,distal_phalanax_tw,0.6906474820143885
NNE-logistic_average_with_confidence-augmented,egg_five_days,1.0
NNE-logistic_average_with_confidence-augmented,face_ucr,0.944390243902439
NNE-logistic_average_with_confidence-augmented,fifty_words,0.7208791208791209
NNE-logistic_average_with_confidence-augmented,mote_strain,0.95
NNE-logistic_average_with_confidence-augmented,power_cons,0.9555555555555556
NNE-logistic_average_with_confidence-augmented,sony_robot,0.95
NNE-logistic_average_with_confidence-augmented,synthetic_control,0.9833333333333333
NNE-majority_vote-augmented,cricket_y,0.6820512820512821
NNE-majority_vote-augmented,distal_phalanax_tw,0.6762589928057554
NNE-majority_vote-augmented,egg_five_days,1.0
NNE-majority_vote-augmented,face_ucr,0.9414634146341463
NNE-majority_vote-augmented,fifty_words,0.5186813186813187
NNE-majority_vote-augmented,mote_strain,0.95
NNE-majority_vote-augmented,power_cons,0.9444444444444444
NNE-majority_vote-augmented,sony_robot,0.95
NNE-majority_vote-augmented,synthetic_control,0.7966666666666666
NNE-average,cricket_y,0.7769230769230769
NNE-average,distal_phalanax_tw,0.7050359712230215
NNE-average,egg_five_days,1.0
NNE-average,face_ucr,0.9473170731707317
NNE-average,fifty_words,0.7626373626373626
NNE-average,mote_strain,1.0
NNE-average,power_cons,0.9611111111111111
NNE-average,sony_robot,0.95
NNE-average,synthetic_control,0.9833333333333333
NNE-average_with_confidence,cricket_y,0.7410256410256411
NNE-average_with_confidence,distal_phalanax_tw,0.6474820143884892
NNE-average_with_confidence,egg_five_days,1.0
NNE-average_with_confidence,face_ucr,0.9409756097560975
NNE-average_with_confidence,fifty_words,0.7164835164835165
NNE-average_with_confidence,mote_strain,1.0
NNE-average_with_confidence,power_cons,0.9611111111111111
NNE-average_with_confidence,sony_robot,0.95
NNE-average_with_confidence,synthetic_control,0.97
NNE-logistic_average,cricket_y,0.7743589743589744
NNE-logistic_average,distal_phalanax_tw,0.7050359712230215
NNE-logistic_average,egg_five_days,1.0
NNE-logistic_average,face_ucr,0.9473170731707317
NNE-logistic_average,fifty_words,0.7648351648351648
NNE-logistic_average,mote_strain,1.0
NNE-logistic_average,power_cons,0.9611111111111111
NNE-logistic_average,sony_robot,0.95
NNE-logistic_average,synthetic_control,0.9833333333333333
NNE-logistic_average_with_confidence,cricket_y,0.7743589743589744
NNE-logistic_average_with_confidence,distal_phalanax_tw,0.7050359712230215
NNE-logistic_average_with_confidence,egg_five_days,1.0
NNE-logistic_average_with_confidence,face_ucr,0.9468292682926829
NNE-logistic_average_with_confidence,fifty_words,0.7626373626373626
NNE-logistic_average_with_confidence,mote_strain,1.0
NNE-logistic_average_with_confidence,power_cons,0.9611111111111111
NNE-logistic_average_with_confidence,sony_robot,0.95
NNE-logistic_average_with_confidence,synthetic_control,0.9833333333333333
NNE-majority_vote,cricket_y,0.7615384615384615
NNE-majority_vote,distal_phalanax_tw,0.7338129496402878
NNE-majority_vote,egg_five_days,1.0
NNE-majority_vote,face_ucr,0.944390243902439
NNE-majority_vote,fifty_words,0.6747252747252748
NNE-majority_vote,mote_strain,1.0
NNE-majority_vote,power_cons,0.8111111111111111
NNE-majority_vote,sony_robot,0.95
NNE-majority_vote,synthetic_control,0.8933333333333333
